account_name,category,caption,likes_count,comments_count,video_view_count,engagement,polarity,subjectivity,flesch_kincaid_grade
MensXP,Entertainment,"Hands in the pocket obsession 😎

@jaideepahlawat nana made him a safari suit with no pockets, but he still found a way - Catch the hilarious childhood story! 

Watch the full episode on MensXP YouTube channel
.
.
.
[men, MensXP, trending, trend, viral, podcast, podcast reel, Jaideep Ahlawat, Sadhika Sehgal, Hathiram, career, failure, love, friendship, fitness, masculinity, vulnerability, strength, resilience, cinema, l acting, stardom, success, struggle, philosophy, spirituality, and growth, youtube, YouTube reel, explore page, childhood stories]",853,3,17533,1034.33,0.24305555555555555,0.4083333333333334,15.398630136986302
MensXP,Entertainment,"The duo that could own 2025 🤌🏻
.
Person In Frame:- @karanaujla @abhisheksharma_4 
.
.
.
[men, MensXp, Karan Aujla, Abhishek Sharma, trending, trend, viral, trending reel, Bollywood, punjabi, Bollywood reel, punjabi video, singer, artist, cricketer, punjab, explore page]",3721,9,25597,3994.97,0.6,1.0,10.00058823529412
MensXP,Entertainment,"Ever wondered why some people naturally gravitate towards astrology? ✨ 

@astroarunpandit reveals the power of Mulank 7 - and why it’s drawn to the mystical. 

Watch the full episode now on MensXP YouTube
.
.
.
[Men, man, male, mensxp, mens xp, astro arun pandit, astro pandit, MLR, mens locker room, sadhika sehgal, arun pandit podcast, astrology, astro arun pandit podcast, astro pandit interview, arun pandit full interview, 2026 predictions, astro pandit 2026 predictions, reels, reels instagram, astrology reels, mulank 7, birth date]",964,6,14669,1122.69,0.19999999999999998,0.4,12.891923076923078
MensXP,Entertainment,"More like me and my sabse pavitra pairing 😉🥰
.
Photo Credits:- Instant Bollywood 
Photo In Frame:- @shikhardofficial 
.
.
.
[men, MensXp, Bollywood, Bollywood reel, trending, trend, viral, trending reel, religious, spiritual, shikhar dhawan, bollywood pairing, sanskaari, pair, manifestation, love, relationship, spiritual partner, explore page]",1104,1,10601,1212.01,0.16666666666666666,0.38055555555555554,13.627804878048781
MensXP,Entertainment,"In conversation with Ranbir Kapoor about all things style at the @arks Delhi store launch ❤️‍🔥👟
.
.
.
[men, MensXP, Idiva, Store Launch, arks, Ranbir Kapoor, event, store openings, sneakers, explore page, rapid fire]",534,14,6231,624.31,0.0,0.0,9.106612903225805
MensXP,Entertainment,"Do bhai dono tabahi😎
.
.
.
.
.
.
.
.
(male, men, man, mensxp, mens xp, explore page, for you page, reels, reels instagram, funny, meme, bollywood, bollywood meme, comedy, joke, Hrithik Roshan, Ayan Mukerji, War 2, box office, bollywood joke)",6867,29,0,6925.0,0.125,0.55,8.429285714285715
MensXP,Entertainment,"Kantara 🙏: Prequel or Sequel?
.
.
.
.
.
.
.
(male, men, man, mensxp, mens xp, Kantara, Kantara chapter 1, Kantara movie, Kantara movie review, Kantara legend, bollywood, explore page, for you page, reels, reels instagram, Rishab Shetty, Rishab Shetty Kantara)",2701,10,0,2721.0,0.0,0.1,10.452142857142857
MensXP,Entertainment,"Maut ko chhu ke takk se wapis aagya😅
.
.
.
.
.
.
.
(male, men, man, mensxp, mens xp, explore page, for you page, reels, reels instagram, relationship, relationship reels, dating, relationship, joke, funny, meme, trendy, girlfriend)",1307,7,0,1321.0,0.2833333333333333,0.6666666666666666,9.087500000000002
MensXP,Entertainment,"Don’t live life like an event 🚫

@jaideepahlawat drops a powerful truth - success isn’t about momentary motivation, it’s about everyday consistency. 

Watch the full episode now on MensXP YouTube channel
.
.
.
[men, MensXP, trending, trend, viral, podcast, podcast reel, Jaideep Ahlawat, Sadhika Sehgal, Hathiram, career, failure, love, friendship, fitness, masculinity, vulnerability, strength, resilience, cinema, l acting, stardom, success, struggle, philosophy, spirituality, and growth, youtube, YouTube reel, explore page]",300,2,3824,342.24,0.1521885521885522,0.3944444444444445,16.232424242424248
MensXP,Entertainment,"Nothing speaks louder than this solid comeback 😍💪🏻
.
Person In Frame:- @rohitsharma45 
.
.
.
[men, MensXP, cricketer, Rohit Sharma, Bollywood, comeback, cricketer reel, ipl, bcci, ODI, Test Series, Captain, trending, trend, viral, trending reel, viral reel, fitness, health, explore page]",1410,5,5249,1472.49,0.0,0.1,8.992972972972975
Netflix,Entertainment,"Pralay ki ghadi aa rahi hai, dharm-adharm ke yodha Kurukshetra mein kal utar rahe hain 🔥🏹
Watch Kurukshetra, out tomorrow, only on Netflix.

#KurukshetraOnNetflix @ajit_andhare @kgunedited @ujaanganguly @simaab @aslidivyakumar @imsuvarnatiwari @viacom18studios @tippingpointfilms @vineet.garg81",13877,58,0,13993.0,0.0,1.0,16.462500000000002
Netflix,Entertainment,"Joker lag rahe ho 🥰🫵

🎥: IT
[Horror, Jumpscare, Clowns, Scary, Night Time, Goodnight]",19745,75,91262,20807.62,-0.5,1.0,6.790000000000003
Netflix,Entertainment,"Gong Yoo, jaanu yaha aao 🫰

📺: Love Untangled
[Funny, Hindi Dub, Hindi, KDrama, Korean, Gong Yoo, Proposal, Love]",5959,46,44296,6493.96,0.4166666666666667,0.7333333333333334,10.47529411764706
Netflix,Entertainment,"She’s going to fight the trolls from the eye of the storm 🌀🔥

Watch The Game: You Never Play Alone, out now in Tamil, Telugu, Malayalam, Kannada and Hindi, only on Netflix.

#TheGameOnNetflix @applausesocial @sameern @segaldeepak @pramodcheruvalath #AmalgaCreationsMedias @rajeshmselva @shraddhasrinath @santhoshprathapoffl @deepthigovindarajan #KarthikBala @garg.prasoon @devnidhib @vighnature @itvstudios",7023,96,108782,8302.82,-0.2,0.7,13.990000000000002
Netflix,Entertainment,"What did they put in this song? 🤌

#SaiyaaraOnNetflix",16449,98,74264,17387.64,0.0,0.0,2.280000000000001
Netflix,Entertainment,"Dharm aur adharm ke iss mahayudh se itihaas gawah hai, aur ab aap bhi ⚔🔥
Watch Kurukshetra, out 10 October, only on Netflix. 

#KurukshetraOnNetflix @ajit_andhare @kgunedited @ujaanganguly @simaab @aslidivyakumar @imsuvarnatiwari @viacom18studios @tippingpointfilms @vineet.garg81",59732,421,367476,64248.76,0.0,1.0,14.9875
Netflix,Entertainment,"The countdown is over. The War begins🔥
Watch War 2, out now in Hindi, Telugu and Tamil, on Netflix.

#War2OnNetflix @hrithikroshan @jrntr @kiaraaliaadvani @ayan_mukerji @yrf #YRFSpyUniverse",266385,1141,1280554,281472.54,0.0,0.0,8.213076923076922
Netflix,Entertainment,"Nominees for the Baddest in Bollywood ✨🔥
Watch The Ba***ds of Bollywood, out now, only on Netflix.

#TheBadsOfBollywoodOnNetflix",25169,123,0,25415.0,0.0,1.0,13.945882352941176
Netflix,Entertainment,"Kavya’s labour of love meets an army of hatred 👀🚨

Watch The Game: You Never Play Alone, out now in Tamil, Telugu, Malayalam, Kannada and Hindi, only on Netflix.

#TheGameOnNetflix",5285,34,91574,6268.74,0.033333333333333326,0.6666666666666666,14.437241379310347
Netflix,Entertainment,"Hangry Sharma Ki Dulhania 🤭

🎥: Humpty Sharma Ki Dulhania
[Alia Bhatt, Varun Dhawan, Varia, Relationship Goals, Couple]",20750,36,186691,22688.91,0.0,0.0,10.562500000000004
Netflix,Entertainment,"If you want some, come get some 🔥
Watch WWE Raw LIVE weekly at 5:30 AM IST, only on Netflix.",9671,72,0,9815.0,-0.03146853146853148,0.6538461538461539,5.483157894736845
Netflix,Entertainment,Mornings are for coffee and reflecting on my fave moments from STRANGER THINGS: SEASON 1,59929,81,0,60091.0,0.0,0.0,7.566666666666666
Netflix,Entertainment,"Found something sweeter than dahi-cheeni 👆💕

#SaiyaaraOnNetflix",108527,311,791980,117068.8,0.0,0.0,6.416666666666668
Netflix,Entertainment,"@taylorswift I think you would love these Showgirls 👉👈

🎥: Om Shanti Om, The Ba***ds Of Bollywood
[Showgirls, Music, Bollywood, Crossover, Deepika Padukone, Mona Singh]",22548,38,0,22624.0,0.5,0.6,12.362608695652174
Netflix,Entertainment,"Hassee toh phassee @jennaortega 🥰🫵

📺: Wednesday
[Jenna Ortega, BTS, Wednesday, Dark, Goth, Unseen]",42090,62,0,42214.0,-0.15,0.4,10.723333333333333
Netflix,Entertainment,"Double the rage. Double the rampage. Ready for the War? 🔥
Watch War 2, out 9 October on Netflix.

#War2OnNetflix @hrithikroshan @jrntr @kiaraaliaadvani @ayan_mukerji @yrf #YRFSpyUniverse",53726,469,0,54664.0,0.06666666666666667,0.16666666666666666,6.655999999999999
Netflix,Entertainment,"Hacked The Game for some BTS pictures 🥰

Watch The Game: You Never Play Alone, out now in Tamil, Telugu, Malayalam, Kannada and Hindi, only on Netflix.

#TheGameOnNetflix",23300,40,0,23380.0,-0.26666666666666666,0.6,13.29555555555556
Netflix,Entertainment,"@kentooyamazaki is so 🥰 🫠 😍

📺: Alice In Borderland
[Arisu, Simp, Usagi, AIB, JDrama, Evolution]",40464,109,157588,42257.88,0.0,0.0,12.690000000000001
Netflix,Entertainment,"That’s no mountain… it’s a WHALE 🐋
Watch One Piece S2, coming in 2026, only on Netflix.

#OnePiece #OnePieceNetflix",113877,404,0,114685.0,0.0,1.0,7.818888888888889
Netflix,Entertainment,"Did someone radio for more episodic posters?? cause we COPIED.

🎨 @thebutcherbilly",23621,46,0,23713.0,0.5,0.5,10.155000000000001
PrintMedia(images),Political,"'For a country where Gen Z youth peacefully united against a social media ban and later violently protested an internet blackout, it is telling that the new Prime Minister reportedly has no access to the official handles used during the Oli era. 

....Managing digital platforms may seem like a small issue. But it reflects a larger worry about governance, which requires attention to detail, foresight, and institutional capacity. This is especially true in a country where Gen Z youth toppled a government through social media-driven protests, demanding systemic change.

Nepal’s state apparatus quickly needs to figure out how it wants to move forward. If passwords can be lost in transition, what happens to power itself? 

Link in bio to complete column by Rishi Gupta, Global affairs commentator 

#nepal #socialmedia #socialmediaaccounts #sushilakarki #nepalprotest #genz #kpsharmaoli",63,0,0,63.0,0.05259740259740259,0.3562770562770563,13.274221748400858
PrintMedia(images),Political,"ThePrint is looking for bright individuals with 3-4 years of work experience in reporting and writing stories on science, technology, space, pharmaceuticals, biotechnology, environment and the start-up sectors. An ideal candidate must have:

1. A keen interest in news and curiosity about current events in these subjects

2. Engaging writing skills that can de-jargonise science and tech for general interest readers

3. Video storytelling skills

4. Wide network of contacts in and an understanding of the scientific institutions

5. Capacity to work on tight digital deadlines

6. Keen reader of latest international science and tech research

7. Please send your CV with published articles on science, tech, space, environment

The ideal candidate must be based in Bengaluru or Hyderabad. You will get the opportunity to learn a vast array of skills, travel across southern states and become a powerful byline in science journalism. 

Send your resume to careers@theprint.in",70,0,0,70.0,0.24795918367346936,0.5704081632653061,11.024840294840299
PrintMedia(images),Political,"The acting foreign minister of Afghanistan, Amir Khan Muttaqi, will meet External Affairs Minister S. Jaishankar Friday, while a meeting with National Security Adviser (NSA) Ajit Doval has not been ruled out. The meeting with Jaishankar, will be one where the flag of the Taliban regime, white with the Shahada, will likely not be seen.

The meeting with Jaishankar will be the highest level of interaction between India and Kabul, since the Taliban retook control of Afghanistan in August 2021.

Muttaqi arrived in India early Thursday morning, and is set to remain in the country till 15 October, the date the waiver from the United Nations Security Council (UNSC) lapses.

Link in bio to complete report by Keshav Padmanabhan (@juicedfive) 

#ThePrintForeignAffairs #Taliban #Muttaqi #IndiaKabulmeeting #MuttaqiJaishankarmeeting #IndiaKabul #MuttaqitomeetDoval",113,0,0,113.0,0.010714285714285716,0.275,14.127992125984253
PrintMedia(images),Political,"From Rawalpindi chicken tikka masala to Sargodha dal makhani and Bahawalpur naan, the Operation Sindoor-inspired dinner menu of an Indian Air Force (IAF) unit has set off sharp reactions, with some lauding it and others urging the IAF to punch above its weight.

The menu, it is learnt, is from an IAF station that saw intense action in the Western Sector during Operation Sindoor—the 87-hour conflict between India and Pakistan’s armed forces in May. The menu, with dishes named after Pakistan Air Force (PAF) stations and terror camps in Pakistan’s Punjab and Pakistan-occupied Kashmir (PoK) struck by Indian armed forces, was curated as part of a dinner to mark Air Force Day (8 October).

While this was not officially sanctioned by the IAF, sources in the Indian defence establishment explained that the idea to curate an Operation Sindoor-inspired menu was executed at a local level, in a lighter vein.

Link in bio to complete report.

#IAFdinnermenu #OpSindoorthemeddinner #RawalpindiChicke #Balakottiramisu #Pakistanstrikeareas",228,2,0,232.0,-0.040624999999999994,0.4125,14.132500000000004
PrintMedia(images),Political,"Six years after the ‘Howdy, Modi’ rally in Houston, where Prime Minister Narendra Modi and US President Donald Trump held hands before a cheering crowd, the bonhomie has eroded. And it is the Indian diaspora whose role in influencing India-US relations — or the lack of it — has come under scrutiny. But many who once embodied India’s soft power now defend their perceived passivity, citing “an unprecedented wave of anti-Indian animosity and mistrust.”

Many Indian-Americans sharply criticised Shashi Tharoor’s op-ed in the Indian Express last week, in which he accused them of staying silent on issues such as the 50 per cent tariff of Indian goods and the new six-figure H1-B fee. Yet this is the same community that has long championed the Indian State— building support for the US-India Civil Nuclear Deal in 2008, lobbying to revoke Modi’s visa ban in 2014, and opposing resolutions that sought to condemn India over the abrogation of Article 370.

Now, some have been compelled to put forth a new position: it isn’t their job to criticise the US for its policies toward India.

Link in bio to complete report by Udit Hinduja (@udithinduja) 

#Indiandiaspora #IndiaUSrift #Trumptariffs #H1Bvisas #Indiandiasporasilence #ShashiTharoor #IndiaUSties #IndianAmericans",28,3,0,34.0,0.145979020979021,0.4231351981351982,16.180822510822512
PrintMedia(images),Political,"Huge turnout at BSP rally in Lucknow. Standalone posters of Mayawati’s nephew & national coordinator Akash Anand suggest he’s emerged as the party’s no. 2. Watch Prashant Srivastava (@prashantreports) explain five key takeaways from Mayawati’s rally.

Link in bio to full video.

#Mayawatirally #BSP #Mayawati #AkashAnand #Mayawatinephew #Lucknow #BSPrally",153,4,1832,179.32,0.25,0.8166666666666668,7.574833333333334
PrintMedia(images),Political,"'Justice Gavai ascended to the post in an era when social media has hijacked the national dialogue and upper castes have celebrated identity politics. His appointment was not a conscious effort by the government to break caste barriers. He rose to the post by the seniority principle. Hindutva hardliners were far from thrilled that the country’s highest judicial office was now held by a man who is not only Dalit but whose family had abandoned Hinduism for Buddhism. 

...The attacks on the judge went further. On discussion programmes, Hindutva activists managed to recommend violence against him, carefully phrased to stop just short of incitement. Nathuram Godse was invoked (in a good way, of course, given how he is a “hero” in these circles). The idea that Hindu interests were being harmed by the Chief Justice spread rapidly on social media. 

...But neither can he fully disown the hardliners — the ones who propound their own definitions of Sanatan Dharma, hate Muslims and Dalits, venerate Godse, and cheer attacks like the one the Chief Justice was subjected to. They are his original Hindutva base. So when they boast that “the entire system is ours,” he looks the other way.'

Link in bio to complete column by Vir Sanghvi (@virsanghvi) 

#cji #cjigavai #india #indians #shoeattack #castediscrimination #supremecourt",608,53,0,714.0,0.08083333333333333,0.6241666666666668,10.498644859813087
PrintMedia(images),Political,"The Siddaramaiah-led Karnataka government Thursday approved a policy to provide one-day paid menstrual leave to women every month. The new policy would cover all government and private employers.

The Menstrual Leave Policy 2025 will cover all organisations that employ women including government offices, garment industry, corporates, information technology, and other sectors.

Karnataka follows in the footsteps of its southern neighbour Kerala that introduced a similar policy in January. 

Link in bio to complete report by Sharan Poovanna.

#Mentrualleave #Karnatakamentrualleavepolice #Siddaramaiah #Karnataka #mentrualpain",1734,15,0,1764.0,0.01856060606060606,0.33409090909090905,15.354634146341464
PrintMedia(images),Political,"UK PM Starmer visits India with largest-ever UK trade delegation—focus on FTA, defence, & fintech. Meanwhile, Trump pushes for Gaza peace talks & threatens invocation of Insurrection Act back home. Catch this week’s top stories on #World360 with Varnika Dhawan (@varnika_dhawan)

Link in bio to full video.

#worldnews #uktrade #ukprimeminister #keirstarmer #donaldtrump #gazapeacetalks #gaza",13,0,154,14.54,0.2833333333333333,0.35000000000000003,9.903076923076924
PrintMedia(images),Political,"The Prashant Kishor-led Jan Suraaj Party (JSP) has released a list of 51 candidates, including many professionals such as lawyers, doctors, and academicians, for the upcoming Bihar elections.

Former Indian Police Service (IPS) officer R.K. Mishra will contest on a JSP ticket from Darbhanga. IPS R.K. Mishra, a former director general (home guards), served in the police force for a long time and is known for his strict working style. His association with the Jan Suraaj Party is traceable to its inception.

Addressing a press conference, Jan Suraaj Party (JSP) national president Uday Singh said Prashant Kishor will kickstart the poll campaign from Raghopur—a high-profile assembly seat, now represented by the former Bihar deputy chief minister and Rashtriya Janata Dal leader Tejashwi Yadav.

Link in bio to complete report by Neelam Pandey (@neelam.pandey) 

#bihar #biharassemblyelections #candidates #jansuraajparty #prashantkishor",1127,10,0,1147.0,0.075,0.2875,11.744746376811595
PrintMedia(images),Political,"Admissions for Batch 5 of #ThePrintSchoolOfJournalism are closing soon, seats are filling up fast! Join now and shape the future of journalism. Apply now. Link in bio!",11,0,0,11.0,0.125,0.3625,5.401481481481483
PrintMedia(images),Political,"#WallsOfThePrint — Politics is the beating heart of India. And it has a permanent place on the walls of ThePrint office in central Delhi. These walls are a repository of India’s rich political history, momentous flashes captured by ThePrint’s team of photojournalists led by Praveen Jain.

Story behind the photo: Murli Manohar Joshi’s life could’ve taken a different turn had he not taken the political plunge after doing his doctorate in physics from Allahabad University where he also taught physics. Seen in this photo is a jubilant Joshi, soon after he was sworn in as Minister for Home Affairs in the first Atal Bihari Vajpayee government (16 May - 28 May 1996). Joshi contested his final Lok Sabha election in 2014, before he was ushered into the BJP’s Margdarshak Mandal.

#MurliManoharJoshi #AtalBihari #iconicphotos #Indianpoliticians #CentralDelhi",40,0,0,40.0,0.028124999999999997,0.4791666666666667,12.048571428571428
PrintMedia(images),Political,"Bahujan Samaj Party (BSP) chief Mayawati on Thursday took a dig at the Samajwadi Party while expressing gratitude towards the current BJP-led government in Uttar Pradesh for maintaining transparency in the management of funds collected from the Kanshi Ram Memorial. 

Speaking at the memorial on the death anniversary of BSP founder Kanshi Ram, Mayawati praised the BJP government for not “suppressing” the revenue generated from visitors.

“We are grateful to the present government because unlike the Samajwadi Party government, the money collected from the people visiting this place has not been suppressed by the present BJP government,” Mayawati said.

Video: ANI 

#bahujansamajparty #bsp #Mayawati #bjp #uttarpradesh",581,40,10198,762.98,0.0,0.13333333333333333,15.33933962264151
PrintMedia(images),Political,"He’s travelled to Paris with India’s Olympic team, started a psychology quiz that drew 12,000 schoolchildren this year, bantered with Ranveer Allahabadia on YouTube, held forth on TV panels, and spoken at dozens of TEDx events. The common thread is mental health. Psychiatrist Dr Samir Parikh has made it his business to get India talking about stigma, social media, and the shortage of professionals in the field. 

With three decades as a psychiatrist and as the chairperson of the Fortis National Mental Health Program, he’s trying to take the subject into schools, homes, and even online. He’s worried about how Indian youth are now juggling many selves—the real self, the ideal self, the role self, and the digital self.
 
“I would not have thought a decade back that I would ever talk about the digital self as a separate self,” said Parikh animatedly at the Department of Mental Health and Behavioural Sciences in Fortis Hospital, Gurugram. “It comes with anonymity, with disinhibition, with pressure of comparison, and a lot of incorrect information.”

Link in bio to complete report by Priyanka Mehta,  alumna of ThePrint School of Journalism

#mentalhealth #psychiatrists #Psychology",149,2,0,153.0,0.07435897435897437,0.2846153846153846,13.359868421052635
PrintMedia(images),Political,"Prime Minister Narendra Modi and visiting British Prime Minister Keir Starmer have vowed to deepen bilateral cooperation between the two countries with focus on greater economic ties, defence and education. 

Addressing the media Thursday, after bilateral talks with Starmer, Modi told the media in Mumbai that a large number of strategic issues were discussed, including the peace process in the Middle East ravaged by the Israel-Hamas conflict, the Russia-Ukraine war and Indo-Pacific security.

Modi said bilateral defence cooperation has grown between the two countries. “We are moving towards defence co-production and connecting the defence industries of both countries.” 

Link in bio to complete report by Snehesh Alex Philip (@sneheshalexphilip) 

#pmmodi #indiauk #indiaukties #keirstarmer",115,1,0,117.0,0.16904761904761903,0.25476190476190474,15.884176991150444
PrintMedia(images),Political,"In a recent significant judgment, the Supreme Court has addressed the complex application of Section 149 of the erstwhile Indian Penal Code (IPC) by drawing a distinction between presence and participation to convict those involved in unlawful assembly. 

The Section holds every member of an unlawful assembly (five or more persons) guilty of an offence committed by any member in the prosecution of the assembly’s common object, or for an offence that members knew was likely to be committed.

Additionally, it establishes a form of vicarious liability, wherein an entire group can be held responsible for an individual’s act if it was linked to their shared unlawful purpose.

Link in bio to complete report by Ruchi Bhattar (@ruchichic) 

#supremecourt #IPC #unlawfulassembly",34,0,0,34.0,0.006249999999999999,0.55,17.27196280991736
PrintMedia(images),Political,"Prime Minister Narendra Modi Thursday reviewed progress on trade talks with the US in a call with US President Donald Trump. The Prime Minister also welcomed the agreement brokered by Trump to find a way to end the hostilities in Gaza.

This is the second call in the last month between the two leaders after almost three months of silence following a contentious discussion over the role of the US President in halting the conflict between India and Pakistan. The contentious call occurred in June 2025, while Modi was in Canada for the G7 summit.

The partial thaw between India and the US has picked up steam in the last few weeks after Trump wished Modi on the latter’s seventy-fifth birthday in September. That call paved the way for this one, that included discussions on trade. The next US Ambassador to India, Sergio Gor was also confirmed by the Senate earlier in the week and is expected to take up his assignment soon.

Link in bio to complete report by Keshav Padmanabhan (@juicedfive) 

#IndiaUSties #TrumpModi #ModicallwithTrump #Tradenegotiations #Trumptariffs",31,2,0,35.0,0.008333333333333331,0.24444444444444444,11.848174157303372
