"caption","commentsCount","likesCount","type","videoViewCount","timestamp","images/0","images/1","images/2","images/3","images/4","images/5"
"“I was born in a poor house, so poor where even knowing your birth date was a privilege. I was around nine or ten when my father passed away. To support my family, I took a job at a tent cinema.

I watched every film, memorizing the songs. Music fascinated me, especially the trumpet. By coincidence, a band practiced near our house. Whenever a new song was released, they’d rehearse it tirelessly – taking a week to master it.

One day, I told the band leader, “You’re taking too long to learn,” and suggested faster methods. Instead of a “thank you”, I got a slap and a harsh reminder not to question my elders.

That lit a fire in me. I ran to my brother, and told him everything. He scolded me for interfering, and then asked, “Do you really want to play the trumpet?” I shouted, “Yes, and I’ll play the songs they’re practicing in front of him!” That’s how I got my first trumpet. I couldn’t afford lessons; it was hard enough to have two meals a day. I practiced endlessly until I finally earned through music.

Eventually, I got married, had children, and began performing at events in Mumbai and Pune. Years of playing eventually led to asthma, yet the joy and laughter of children when I performed at their birthdays made it worthwhile. But soon, the course of my life changed.

Within four years, I lost four family members. First, my grandson and one of my sons, in separate accidents. Then, my wife suffered a heart attack; she took her last breath on a bus we were on. Not long after, I lost my granddaughter, 15 days before her wedding. One moment she complained of a headache; the next, I was preparing for her last rites.

Their medical bills left me with a debt of 25 lacs, with no way to repay it. I even grew to hate the instrument that once fed my family. But one day, someone uploaded one of my performances online. The video received immense love, and people stepped up to help. 

Today, I’ve cleared around 8-9 lacs of my debt. I won’t stop until I’ve paid it all off. So, I continue, with my trumpet in one hand and the need to protect my remaining family in another.”
-
If you’d like to support Vasant ji, you can contribute any amount you want through GPay to +919763389828.","159","14130","Video","190174","2025-10-07T05:27:06.000Z",,,,,,
"“At 73, they took me from the place I called home for more than 30 years – like I was a criminal.

The memories of those nights in detention make my hands tremble. On Sep 8th, during a routine immigration check-in, I was told I was under arrest. My granddaughter was waiting outside. They let me call her once. I said, ‘Beta, go home… they’ve arrested me.’ She cried, thinking she’d done something wrong.

I was kept in a cold room all night – no chairs, just a metal bench. When I asked for a pillow or blanket, I was given a dirty foil sheet. When they moved me, they cuffed my hands & legs. I could barely climb into the van. I wasn’t given my medicines. The first week, they served only meat. I kept saying I was vegetarian, but they didn’t care. I survived on chips & biscuits until Sep 14th, when I got my first veg meal. I felt like my life didn’t matter.

I arrived to the USA in ’92 with my sons, who became citizens through marriage, & applied for asylum myself. My final appeal was denied in 2012, but I never went underground. For 13 years, I reported to immigration & followed every rule.

Life there was good. I worked 6 days a week, & helped care for my grandchildren. I’d drop my grandsons to school & pick them up; made sure they studied. They were closer to me than their parents. When they heard I’d been taken, they were devastated. They still ask, ‘Kya karoge aap, Dadi?’

While I was in detention, my family acted quickly. My lawyer reached out to the Indian Consulate & discovered that, all these years, ICE never formally submitted a request for my travel documents. Within days, they were issued, & my lawyer booked my flight to India. They asked that I be released into family custody to say my goodbyes & leave with dignity. ICE ignored them, & moved me to the final location – Georgia.

Those last days were the worst. I wasn’t allowed to shower, wore the same clothes for 5 days, & slept on the floor. I landed in Delhi on Sep 24th with 132 deportees. I now live in Punjab with my brother. But I still see that cold room, the chains, the metal bench in my mind. My whole life – my family, my home – is on the other side of the world. I don’t know how to survive here.”","158","8201","Sidecar",,"2025-10-09T05:30:02.000Z","https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/560472037_18534400318060609_8112011977760046389_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-sjc3-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QEXv9CUhL44iPa6w6S_eYOwc5ZlLTVX9yGwwkOtI2rI4pq1up6RRgl1MM41WmP7nj5EC4tmKAH2wOs57MKPZaGJ&_nc_ohc=4CuR42nKgAYQ7kNvwEXPDCV&_nc_gid=Jb7dEBgUwX_aqN_s8lG0Sw&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afd8dpb6E7uMj_ebRA0-rUiBCdGSXrR_uBxdKWVKjriDCQ&oe=68EDC3E6&_nc_sid=10d13b","https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/561637215_18534400327060609_8665308439589086685_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-sjc3-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QEXv9CUhL44iPa6w6S_eYOwc5ZlLTVX9yGwwkOtI2rI4pq1up6RRgl1MM41WmP7nj5EC4tmKAH2wOs57MKPZaGJ&_nc_ohc=nBt_3aXT144Q7kNvwELpYvr&_nc_gid=Jb7dEBgUwX_aqN_s8lG0Sw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfccJplIVTrXjfhr4_59o3zr0HkRkZueU54wOGlRFEUAXQ&oe=68EDBBF3&_nc_sid=10d13b","https://scontent-sjc6-1.cdninstagram.com/v/t51.2885-15/561343322_18534400336060609_1697524446832435587_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-sjc6-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QEXv9CUhL44iPa6w6S_eYOwc5ZlLTVX9yGwwkOtI2rI4pq1up6RRgl1MM41WmP7nj5EC4tmKAH2wOs57MKPZaGJ&_nc_ohc=n6Mw5BO4RsEQ7kNvwFLnvpI&_nc_gid=Jb7dEBgUwX_aqN_s8lG0Sw&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afc5VRHipbnREfH6pSj9OXXPGXmPXDt9YIHKA8HTYK2EtA&oe=68EDC788&_nc_sid=10d13b","https://scontent-sjc6-1.cdninstagram.com/v/t51.2885-15/560376363_18534400354060609_4416989767859854053_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-sjc6-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QEXv9CUhL44iPa6w6S_eYOwc5ZlLTVX9yGwwkOtI2rI4pq1up6RRgl1MM41WmP7nj5EC4tmKAH2wOs57MKPZaGJ&_nc_ohc=k6S9M0psxRMQ7kNvwHXKipA&_nc_gid=Jb7dEBgUwX_aqN_s8lG0Sw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfemsjzZsYSjpy04VTIfj5frde70WjRIHeWuUqE45dZTnw&oe=68EDCFE0&_nc_sid=10d13b","https://scontent-sjc6-1.cdninstagram.com/v/t51.2885-15/561628914_18534400345060609_1851671690562389187_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-sjc6-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QEXv9CUhL44iPa6w6S_eYOwc5ZlLTVX9yGwwkOtI2rI4pq1up6RRgl1MM41WmP7nj5EC4tmKAH2wOs57MKPZaGJ&_nc_ohc=XB40QkL_8VAQ7kNvwHqNGAa&_nc_gid=Jb7dEBgUwX_aqN_s8lG0Sw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AffVRSiEhVV1avQ7Rm9fauVN5QARhCtmAXr_iDQy7j8tXA&oe=68EDCCB5&_nc_sid=10d13b","https://scontent-sjc6-1.cdninstagram.com/v/t51.2885-15/562376322_18534400363060609_5689180679196265415_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-sjc6-1.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QEXv9CUhL44iPa6w6S_eYOwc5ZlLTVX9yGwwkOtI2rI4pq1up6RRgl1MM41WmP7nj5EC4tmKAH2wOs57MKPZaGJ&_nc_ohc=uBJCOxWDsw0Q7kNvwELC8b3&_nc_gid=Jb7dEBgUwX_aqN_s8lG0Sw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfcgHSF03ppn4sM7-dvJgnCKhxqrQXjLeNXxvuVMuRygxQ&oe=68EDD34F&_nc_sid=10d13b"
"“When you’re born different, people quietly decide what you can and cannot have. Love was supposed to be out of reach for me. Until Hema walked into my life.

I was born in 1969 in Talala, Gir. At the age of two, an incorrect injection left me unable to walk. My childhood was spent between hospitals and treatments. But even when my body gave up, my spirit didn’t. At our ancestral temple, I’d listen to bhajans and kirtans. When I sang or played the harmonium, people danced around me. That gave me courage, and at 20, I moved to Baroda to study music.

That year, at the Ellora garba, I noticed two girls in the crowd. They didn’t just dance, they sang every word. On the third night, when our chorus singers lost their voices, I suggested we call those girls on stage. That’s how I met Hema.

For the remaining nights, we sang together, and so did our hearts. We fell in love. She belonged to a wealthy Mistry family, I was a Brahmin boy in a wheelchair. Ironically, it wasn’t her family who questioned our match, it was mine – because of caste. Her father, instead, looked at me and said, ‘Ye ladka patthar se bhi paani nikal sakta hai.’

After a year of courtship, we made a bold choice. On a 50 rupee stamp paper, we wrote that we wanted no share of property–all we wanted were blessings–and we got married. We had nothing, just a rented house and days when food was scarce. But Hema always stood by me.

When she got pregnant with our son, Daivat, my family finally softened, and accepted our love. Years later, our second boy, Maharshi, was born. We decided to raise our children with one belief – give them the freedom to choose their own path, but let them know they are always loved. However busy life was, we ended the day together at the dinner table. Today, our children are grown, we are grandparents, and that table is still where the love lives.

Life gave me milestones. Tours abroad, compositions and songs for Modi ji, even a Guinness World Record. But nothing compares to what Hema and I built together. When I look back at 35 years of marriage, I realise music gave me more than a career. It gave me Hema. My partner, my family, my greatest composition of all.”","78","5653","Sidecar",,"2025-09-28T12:30:33.000Z","https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/555021614_18531825988060609_1061629936673742326_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QHQGi9xM-f2cA9DoeWShWnflSKP150fnhyhlK67m16LBF5NiAsT953d71s8kfBxbMnKeAWEoggE5nzs6R6TyqSa&_nc_ohc=ZfBQtQsWG3MQ7kNvwGiwr-6&_nc_gid=PlmHOhIZVOlx9lDWep4ljg&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afdvd64iOL5tUHUHcj-ac_oRKzQzK8ybGt3MolDHN327dA&oe=68EDC2E1&_nc_sid=10d13b","https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/556592741_18531826003060609_3993407006477242310_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QHQGi9xM-f2cA9DoeWShWnflSKP150fnhyhlK67m16LBF5NiAsT953d71s8kfBxbMnKeAWEoggE5nzs6R6TyqSa&_nc_ohc=bK90Mynil38Q7kNvwGutOY7&_nc_gid=PlmHOhIZVOlx9lDWep4ljg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfeHEtClLiFFkrABlnaEKy7N3i_lDuFVWrYLsXZ1fwXzdQ&oe=68EDC12B&_nc_sid=10d13b","https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/556068014_18531826018060609_9089119802536168527_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QHQGi9xM-f2cA9DoeWShWnflSKP150fnhyhlK67m16LBF5NiAsT953d71s8kfBxbMnKeAWEoggE5nzs6R6TyqSa&_nc_ohc=KTKIqt_c7noQ7kNvwEBNMOg&_nc_gid=PlmHOhIZVOlx9lDWep4ljg&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afei5XQAEO3DzwD_PruSmc1Ape7zlz8r6LS7wOa7yFT-Bg&oe=68EDA132&_nc_sid=10d13b","https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/556816786_18531826021060609_5940402307430082830_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QHQGi9xM-f2cA9DoeWShWnflSKP150fnhyhlK67m16LBF5NiAsT953d71s8kfBxbMnKeAWEoggE5nzs6R6TyqSa&_nc_ohc=By3m2ohtyzgQ7kNvwEo_hdx&_nc_gid=PlmHOhIZVOlx9lDWep4ljg&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afd_p8ZoCcNF6aZMvlijbxCUa1m9_sg7sJUPxh_Uh_BAjA&oe=68EDA3F3&_nc_sid=10d13b","https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/555081352_18531826024060609_9090165706615867649_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QHQGi9xM-f2cA9DoeWShWnflSKP150fnhyhlK67m16LBF5NiAsT953d71s8kfBxbMnKeAWEoggE5nzs6R6TyqSa&_nc_ohc=haKQSw2aGQkQ7kNvwHmtliy&_nc_gid=PlmHOhIZVOlx9lDWep4ljg&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfdX9YJ7cvjpfJG2mCoKVlp9UBkswrrd34yT55GUO83SAA&oe=68EDB120&_nc_sid=10d13b","https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/555765031_18531826033060609_2011940388039309872_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QHQGi9xM-f2cA9DoeWShWnflSKP150fnhyhlK67m16LBF5NiAsT953d71s8kfBxbMnKeAWEoggE5nzs6R6TyqSa&_nc_ohc=7QmGROpIRZ8Q7kNvwHFNmzz&_nc_gid=PlmHOhIZVOlx9lDWep4ljg&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afd-pafqpLKA3mjsk6ipGoHVH-S8lOOvng051aOWL8-nXA&oe=68EDCC53&_nc_sid=10d13b"
"“Every year, I climb a ladder to place Maa Durga’s mukut on the idol in the courtyard. Even today, my hands tremble a little. Because in that moment, I feel the weight of two centuries of tradition resting on me.

Our story began eight generations ago in Dhamua, Bengal. My ancestor’s father moved to Calcutta as a purohit, and his son, Girish Mukherjee, after whom our house ‘Girish Bhavan’ is named, became a successful lawyer – he even handled cases for royals. But beyond his profession, what he left behind was a legacy that defines us even today: the Durga Puja and Jagadhatri Puja at our home. Ma Jagadhatri became our household deity, worshipped every day of the year, and Durga Puja became the festival that brought us together as a family.

Preparations start months in advance. For the Puja, 53 of us gather under one roof. Everyone has a role. My elder brother recites mantras from a 200-year-old pothi with the guru, another conducts the havan, and my mother and aunts carefully manage mithai, nariyal, flowers, and utensils that are only used during this time.

As a child, I watched from the sidelines. Puja meant hanging out with cousins and the joy of seeing the house come alive. But after my sacred thread ceremony, I stepped into the rituals myself. I learned all I could from my elders.

Even the making of the idol carries meaning. A small portion of punya maati, soil from a sex worker’s home, is always mixed into the clay. It is not unique to us, but it symbolizes something profound: the goddess accepts everyone.

Then, there are some rituals that are special to our family. On Dashami, the boys walk in a circle around our Bandhuta space, just as my father and grandfather once did. 

My fondest memories, though, are of the little things: early morning conversations with cousins before the crowds arrive, evenings filled with traditional Bengali songs, & the Dashami meal we share after visarjan, all together.

At the end of every Puja, as we look around at one another, the thought is always the same: 198 years later, Durga Puja is not just about rituals. It is about family, togetherness, and the strength of a tradition that each generation chooses to keep alive.""","51","6733","Video","91974","2025-09-28T05:31:17.000Z",,,,,,
"“My name is Aanya, I’m 5 years old, and I’ve loved dancing for as long as I can remember!

I started before anyone officially taught me. When the TV was on, I would enact the dances on the screen. Once, when I was 2, at a family wedding, a choreographer said I was too small so he didn’t include me in the performances. But I still picked up all the steps just by sitting in one corner and watching. On the sangeet night, when I started performing below the stage, people stopped looking there and started watching me instead. That’s when my parents realised – dancing wasn’t just fun for me, it was something special.

People would constantly tell them to share my photos and videos, so they created an Instagram account where family and friends could enjoy my performances. But then one reel went viral, and suddenly, millions of people were watching. That’s when dancing became a part of our everyday lives.

It’s not just my journey anymore – it’s my whole family’s. My Mumma designs my costumes, and helps me practice. My Papa shoots and edits my videos. Earlier, they had to manage their own work and wouldn’t stay at home so much, but now, I get to spend everyday all the time with them! We even go for late-night drives, juice stops, and monthly trips where it’s just us and no social media.

At first, when I started gaining attention online, my parents were worried. People said, ‘She’s too young, don’t overexpose her.’ But so many more sent love, saying, ‘She’s just a little girl dancing her heart out. Let her do what she wants.’ That made us so happy, and we kept going!

I’ve had the chance to dance with my favourite stars, like Nora Didi! And I keep watching Shraddha Didi’s movies again and again, and dancing to her songs. But this doesn’t mean I don’t focus on my studies. I want to be a good student, so I can grow up and be a doctor! For now though, I just want to keep dancing… because it makes me happy, it makes everyone around me smile, and it brings my family closer together.”","254","71178","Video","981420","2025-09-29T13:37:39.000Z",,,,,,
"“I grew up dancing because of my elder sister. She was an actress, always on stage, & she introduced me to Garba. Watching her perform inspired me. Even when I followed the expected path – engineering, & a coding job, I never left dance behind. After office, I would rush to my tiny studio in Borivali & teach. For years, I lived with each foot straddling both worlds.

By 26, I realised I had to choose. I wanted a shot at my dream – if it didn’t work out, I could always return to a job. Quitting felt risky, but my parents encouraged me, ‘If you want to try, do it now.’ That’s when I met Parth, who in no time became a friend, a brother, and a business partner.

That’s how Thangaat Garba was born. The start wasn’t easy. People believed no one would pay to learn Garba. To change that, we hosted free workshops. Every hall filled up, proving there was untapped love waiting to be channelled. Then came a turning point. During one of her Navratri promotional tours, Falguni Pathak visited our class. I knew then this could be something big.

From 4 instructors managing back-to-back sessions, today we’re a team of 180 across 45 locations in 12 cities, workshoping in 8 countries. Along the way, Garba gave me my life partner. I met my wife Shikha during one of our online sessions, & our chats quickly turned into shared plans & dreams. Since then, we’ve been growing together, in dance & in life.

The journey takes us places we never imagined. Last year, after a workshop in New York, our students asked if we could celebrate by dancing at Times Square. For 15 minutes, Garba lit up the heart of the city. Strangers clapped along, some asked what dance this was, & Garba travelled beyond our community.

It still feels surreal when a student says, ‘I love Garba more than hip-hop.’ Every time I think of how far we’ve come, I go back to that first visit from Falguni ji. Just last night, I was at a Garba where she introduced us to her team. Years ago, we were nervously introducing ourselves to her. Coming full circle reminded me it wasn’t just about dance. It’s about a culture crossing borders, from Borivali to Times Square & beyond.”","194","17053","Video","328273","2025-10-01T09:33:02.000Z",,,,,,
"In 2019, my friend Abi and I went to a garba night here in Australia. We didn’t know a single step, we just stood there watching people’s feet. But in the last 20 mins, I told her, “We came here to dance, let’s do it!” The moment I joined in…I was hooked.

Honestly, dance had always been a part of my life. As a teenager, I trained in jazz, tap, ballet & contemporary. I even danced professionally. But then life took over, & amidst my marriage, children, and work… dancing took a backseat. Years later, Bollywood movies rekindled that spark. They were like musical theatre on screen – songs, emotions, dance all woven together. I’d spend hours in my lounge room, rewinding scenes and learning routines. That love eventually led me to a Bollywood dance studio in Perth, where I met Maitri, who’s from Mumbai. She taught us different formats, & somehow, garba entered my life.

That studio is also where I bonded with Abi, and for years, both of us dreamt of going to India to celebrate Navratri. The pandemic delayed our plans, but last October, we finally made it. We landed in Mumbai, joined Maitri and her sister, Hasshruti’s group, and lived out our dream.

It was nothing short of magical. The energy, the music, the sea of people, was overwhelming at first. But once I stepped in, it felt like a prayer. One night at Falgunī Pathak’s show, the sky opened up. Rain poured, thunder roared, fireworks lit up the night. Yet, everyone kept dancing. I was drenched, breathless, and yet, I’d never felt more alive. It was spiritual, like the universe itself had joined us.

People came up to me and said, “Thank you for embracing our culture.” But the truth is, I was the grateful one. To be welcomed, to belong, even as an outsider from Perth, was the real gift.

That’s what inspired me to bring this beautiful culture back home – I’m celebrating Navratri in Australia this year. At 57, I still play garba until midnight. It isn’t a mere dance to me anymore, it’s a reminder that joy has no boundaries, no age, no passport.

Even today, when I close my eyes, I’m transported back to Mumbai – hearing the dhol, feeling the rain on my face, and reliving the nights that will stay in my heart forever.","654","59463","Video","486909","2025-09-26T09:35:22.000Z",,,,,,
"“My story began at a dressing table in Jaipur. My mother always wanted a daughter, so as a child she dressed me up & sat me beside her. I watched her apply kajal, lipstick, & get ready for festivals. Surrounded by my mother, sister, & cousins, I began to see clothes not just as fabric, but as an expression of self.

But that expression came at a cost. My family was in the marble business, & it was expected I would be too. So when I said I wanted to pursue fashion, it was unthinkable. But my mother was always in my corner, cheering me on, even when I chose to leave Jaipur for fashion school in Mumbai.

Mumbai opened me up to the world of design & styling. I spent years learning, & building my voice in fashion. After that, I moved to Baroda for another degree, & it was there that I discovered Garba. My first Navratri there, I didn’t know a single step. But then, I learned, competed, & even won prizes. Soon, it stopped being about winning – Garba became devotion. Even today, I travel from Jaipur to Baroda every Navratri, to play all night. In fact, right now, I’m here, dancing like I do every year.

As I built confidence on the Garba floor, I also built it in my clothes. I never believed fashion had a gender. I wore skirts, saris with kurtas, jackets inspired by maharajas. I posted it online – I was just being myself. One Garba video suddenly went viral. Overnight, my world changed. But along with love came hate. Millions of views meant thousands of cruel comments: ‘chakka,’ ‘bas ab choodiya pehen le,’ ‘why is he dressed like a woman?’ Offline too, there were stares & whispers. But I never replied. I kept showing up, because the moment I doubted myself, they would win.

This year, I launched my brand Rukhalo, a Marwari word for guardian. With Rukhalo, I create timeless, unapologetically gender fluid clothing that reflects what I stand for. Today, at 29, I’m a freelance stylist, a content creator, & a founder.

At times when I think back to that boy at the dressing table, watching his mother get ready, I realise that he has come a long way. He has weathered the noise, stood tall, & has owned his identity. And I know… this is only the beginning.”","314","15977","Video","329377","2025-09-30T09:30:07.000Z",,,,,,
"“In the 1970s, I quit my job as an engineer at L&T to dedicate myself to Mahatma Gandhi’s philosophy. 50 years later, I am still at the book centre I helped build; carrying his ideas forward. 

As a kid, I was an ardent reader of Mahatma Gandhi’s books and was very moved by his ideas of truth, non-violence and love. By the time I was in my late 30s, corporate life had lost meaning. I wanted to lead a more purposeful life. Soon after, I joined the Bombay Sarvodaya Mandal – a Gandhian public charitable trust dedicated to spreading his teachings. 

In 1982, Richard Attenborough’s film, Gandhi was released in India. People thronged to the theatres to see the film. There was a resurgence of interest in Bapuji’s works. One day, my co-workers and I went to Regal Cinema in Colaba and started selling his autobiography to people coming out of the cinema hall. The response was very enthusiastic. This led us to opening our book centre, a place for those eager to delve deeper into his writings.

Now, we have more than 200 books on Mahatma Gandhi. A major chunk of our collection features books written by Gandhiji himself. We also conduct activities and examinations based on his philosophy. 

During one such exam, I met Laxman Gole, a prisoner who was under trial at the Nasik jail for murder and extortion, among other charges. We gave him Gandhiji’s autobiography. It was a small, almost accidental gesture but he was completely hooked. The book impacted him in such a way that he pleaded guilty to all the charges against him and even wrote a letter to the judge expressing repentance. 

With war and political conflicts escalating all over the world today, it is all the more important for us to recall Gandhiji’s insistence on love and non-violence.

I am 88 now, and I still live in these rooms where the thoughts of Gandhiji comforted and inspired me. I hope my work continues to immortalise his ideas and ideals for generations to come.”

Image credits: Ashish Raje, Mid-day","13","2612","Sidecar",,"2025-10-02T05:45:21.000Z","https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/558867794_18532679887060609_3413280886751695387_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QECs3Urrhve-HMyqEOA1ESRFGzT9YFHq59-Hfr7cpFooKyRDEQU-1x21yrZ1AJdIGs&_nc_ohc=_CwzPcN3fVwQ7kNvwEeD8lh&_nc_gid=NMJTJtQv9imQwIBttPPMXQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_Afc5hpWfji6AO_mm4pmuuffJbleCsqUGkfeTYin5vShBDA&oe=68EDBF89&_nc_sid=10d13b","https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/559417505_18532679896060609_4685346769550931186_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QECs3Urrhve-HMyqEOA1ESRFGzT9YFHq59-Hfr7cpFooKyRDEQU-1x21yrZ1AJdIGs&_nc_ohc=dhe82jkdulkQ7kNvwFwVYa3&_nc_gid=NMJTJtQv9imQwIBttPPMXQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfcMUimNcvwP6UyatqkJqXS-wSbehL_DADk-wlip5BJalA&oe=68EDB43E&_nc_sid=10d13b","https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/557418579_18532679914060609_8464384637804649084_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QECs3Urrhve-HMyqEOA1ESRFGzT9YFHq59-Hfr7cpFooKyRDEQU-1x21yrZ1AJdIGs&_nc_ohc=mFeULwLdRNwQ7kNvwHlYGud&_nc_gid=NMJTJtQv9imQwIBttPPMXQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfchGAr7V-sd4OAlYuppPfVVCdi0OeNOf4yrpuxzfZRhlg&oe=68EDACD8&_nc_sid=10d13b","https://scontent-atl3-2.cdninstagram.com/v/t51.2885-15/558338355_18532679905060609_857038611073918693_n.jpg?stp=dst-jpg_e15_tt6&_nc_ht=scontent-atl3-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QECs3Urrhve-HMyqEOA1ESRFGzT9YFHq59-Hfr7cpFooKyRDEQU-1x21yrZ1AJdIGs&_nc_ohc=h2X0gX34W1wQ7kNvwFuCiVb&_nc_gid=NMJTJtQv9imQwIBttPPMXQ&edm=APs17CUBAAAA&ccb=7-5&oh=00_AffFDnxcxGttJ9PIbydalF7YEWBTckGPWpu7MTDQ71cqog&oe=68EDD4B9&_nc_sid=10d13b",,
"“I’ve had to start over many times – from running a tiffin service in a chawl while my husband gambled away all the money I worked hard to earn, to cooking in other people’s homes, to finally building a space that was truly mine. My children helped me at every step, and when life broke the circle, we learned to join it again.
And even when I lost my son 25 years ago, or when a year later, my daughter came home with her one-year-old, carrying the marks of her own struggles… we found a way to keep going. Life was hard, money was tight, but giving up was never an option.
These experiences have taught me so much: when you fall, you get up. When plans change, you find a new step. When the circle breaks, you keep moving and reconnect where you can. Simple lessons, but they’ve guided me through everything and shaped the life I have today.
Today, my family is settled, my granddaughter is studying abroad, and my home is full of music, dance, and freedom. And during these nine days of Navratri, I’m celebrating the same vigour that gets me through life… by dancing my heart out.”","43","9200","Video","210846","2025-09-27T05:34:26.000Z",,,,,,
