"caption","commentsCount","likesCount","type","videoViewCount","timestamp","images/0","images/1","images/2","images/3","images/4","images/5","images/6","images/7","images/8","images/9"
"Admissions for Batch 5 of #ThePrintSchoolOfJournalism are closing soon, seats are filling up fast! Join now and shape the future of journalism. Apply now. Link in bio!","0","11","Image",,"2025-10-09T12:39:38.000Z",,,,,,,,,,
"#WallsOfThePrint — Politics is the beating heart of India. And it has a permanent place on the walls of ThePrint office in central Delhi. These walls are a repository of India’s rich political history, momentous flashes captured by ThePrint’s team of photojournalists led by Praveen Jain.

Story behind the photo: Murli Manohar Joshi’s life could’ve taken a different turn had he not taken the political plunge after doing his doctorate in physics from Allahabad University where he also taught physics. Seen in this photo is a jubilant Joshi, soon after he was sworn in as Minister for Home Affairs in the first Atal Bihari Vajpayee government (16 May - 28 May 1996). Joshi contested his final Lok Sabha election in 2014, before he was ushered into the BJP’s Margdarshak Mandal.

#MurliManoharJoshi #AtalBihari #iconicphotos #Indianpoliticians #CentralDelhi","0","40","Sidecar",,"2025-10-09T10:29:51.000Z","https://scontent-hou1-1.cdninstagram.com/v/t39.30808-6/558863856_851768750786674_7158071573117558153_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QEcmNCPNZDiLNSl0RBuxEIb-tAgulT2pS-L3tHp0uSpdPGVXuXHc-TOeUgGBHGKsJc&_nc_ohc=MUm7cQszG58Q7kNvwHcsj02&_nc_gid=91IZM4-A9kAr7EYtLtKD1g&edm=APs17CUAAAAA&ccb=7-5&oh=00_AfcVICEW46HsxLTO9xs7XAR6se6dxnAoytn-BvvjA4qAjg&oe=68EDCBF0&_nc_sid=10d13b","https://scontent-hou1-1.cdninstagram.com/v/t39.30808-6/559559109_851768010786748_54915980280960865_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08_tt6&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QEcmNCPNZDiLNSl0RBuxEIb-tAgulT2pS-L3tHp0uSpdPGVXuXHc-TOeUgGBHGKsJc&_nc_ohc=Ao5g_OJNE9MQ7kNvwFk_WG-&_nc_gid=91IZM4-A9kAr7EYtLtKD1g&edm=APs17CUAAAAA&ccb=7-5&oh=00_AfeQWJ9fdWOMUiEIsNt2iG9M6eNfKYii1d6jejcCYY_SIg&oe=68EDCA20&_nc_sid=10d13b",,,,,,,,
"Bahujan Samaj Party (BSP) chief Mayawati on Thursday took a dig at the Samajwadi Party while expressing gratitude towards the current BJP-led government in Uttar Pradesh for maintaining transparency in the management of funds collected from the Kanshi Ram Memorial. 

Speaking at the memorial on the death anniversary of BSP founder Kanshi Ram, Mayawati praised the BJP government for not “suppressing” the revenue generated from visitors.

“We are grateful to the present government because unlike the Samajwadi Party government, the money collected from the people visiting this place has not been suppressed by the present BJP government,” Mayawati said.

Video: ANI 

#bahujansamajparty #bsp #Mayawati #bjp #uttarpradesh","40","581","Video","10198","2025-10-09T08:21:46.000Z",,,,,,,,,,
"He’s travelled to Paris with India’s Olympic team, started a psychology quiz that drew 12,000 schoolchildren this year, bantered with Ranveer Allahabadia on YouTube, held forth on TV panels, and spoken at dozens of TEDx events. The common thread is mental health. Psychiatrist Dr Samir Parikh has made it his business to get India talking about stigma, social media, and the shortage of professionals in the field. 

With three decades as a psychiatrist and as the chairperson of the Fortis National Mental Health Program, he’s trying to take the subject into schools, homes, and even online. He’s worried about how Indian youth are now juggling many selves—the real self, the ideal self, the role self, and the digital self.
 
“I would not have thought a decade back that I would ever talk about the digital self as a separate self,” said Parikh animatedly at the Department of Mental Health and Behavioural Sciences in Fortis Hospital, Gurugram. “It comes with anonymity, with disinhibition, with pressure of comparison, and a lot of incorrect information.”

Link in bio to complete report by Priyanka Mehta,  alumna of ThePrint School of Journalism

#mentalhealth #psychiatrists #Psychology","2","149","Image",,"2025-10-09T10:30:09.000Z",,,,,,,,,,
"Prime Minister Narendra Modi and visiting British Prime Minister Keir Starmer have vowed to deepen bilateral cooperation between the two countries with focus on greater economic ties, defence and education. 

Addressing the media Thursday, after bilateral talks with Starmer, Modi told the media in Mumbai that a large number of strategic issues were discussed, including the peace process in the Middle East ravaged by the Israel-Hamas conflict, the Russia-Ukraine war and Indo-Pacific security.

Modi said bilateral defence cooperation has grown between the two countries. “We are moving towards defence co-production and connecting the defence industries of both countries.” 

Link in bio to complete report by Snehesh Alex Philip (@sneheshalexphilip) 

#pmmodi #indiauk #indiaukties #keirstarmer","1","115","Image",,"2025-10-09T10:54:14.000Z",,,,,,,,,,
"In a recent significant judgment, the Supreme Court has addressed the complex application of Section 149 of the erstwhile Indian Penal Code (IPC) by drawing a distinction between presence and participation to convict those involved in unlawful assembly. 

The Section holds every member of an unlawful assembly (five or more persons) guilty of an offence committed by any member in the prosecution of the assembly’s common object, or for an offence that members knew was likely to be committed.

Additionally, it establishes a form of vicarious liability, wherein an entire group can be held responsible for an individual’s act if it was linked to their shared unlawful purpose.

Link in bio to complete report by Ruchi Bhattar (@ruchichic) 

#supremecourt #IPC #unlawfulassembly","0","34","Image",,"2025-10-09T08:30:12.000Z",,,,,,,,,,
"Prime Minister Narendra Modi Thursday reviewed progress on trade talks with the US in a call with US President Donald Trump. The Prime Minister also welcomed the agreement brokered by Trump to find a way to end the hostilities in Gaza.

This is the second call in the last month between the two leaders after almost three months of silence following a contentious discussion over the role of the US President in halting the conflict between India and Pakistan. The contentious call occurred in June 2025, while Modi was in Canada for the G7 summit.

The partial thaw between India and the US has picked up steam in the last few weeks after Trump wished Modi on the latter’s seventy-fifth birthday in September. That call paved the way for this one, that included discussions on trade. The next US Ambassador to India, Sergio Gor was also confirmed by the Senate earlier in the week and is expected to take up his assignment soon.

Link in bio to complete report by Keshav Padmanabhan (@juicedfive) 

#IndiaUSties #TrumpModi #ModicallwithTrump #Tradenegotiations #Trumptariffs","2","31","Image",,"2025-10-09T16:38:33.000Z",,,,,,,,,,
"In India, writing about Pakistan’s founding father only creates controversy. But Lord Meghnad Desai’s book, Mohan and Muhammad, looks into the commonalities between the lives and careers of MK Gandhi and Jinnah.

Published three months after the author’s demise, the book intertwines two lives.

“It’s otherwise not easy to do because Mahatma Gandhi sucks all the oxygen out of the room in India. And Muhammad Ali Jinnah, similarly, if he’s on the stage, nobody else can occupy that same pedestal. So it requires someone like Meghnad Desai to bring both these figures into one single frame,” said TCA Raghavan, former ambassador of India to Pakistan, at Delhi’s India International Centre (IIC) on 8 October.

Link in bio to complete report by Krishan Murari (@murari97) 

#MahatmaGandhi #MuhammadJinnah #MeghnadDesaibook #IndiaPakistan #MohanandMuhammad","1","67","Image",,"2025-10-09T14:30:11.000Z",,,,,,,,,,
"Delhi’s low-rise flats from the 1970s and 80s didn’t account for their inhabitants growing old. As residents age and become less mobile, lifts have become flashpoints for courtroom battles, neighbour disputes in RWA groups, and bureaucratic deadlock. Car parking was once the main conflict area. Now, the fight is over installing lifts. The DDA’s housing stock never anticipated today’s reality: a car in every home, ageing knees on every floor. Some buildings have basement parking, but only for scooters. And retrofitted lifts are a distant dream for most, even after policy finally made them possible.

Ironically, the system had opened the door just as Nair knocked. In September 2015, the power to issue NOCs for lifts was shifted from the Delhi Development Authority (DDA) to local municipal bodies, with the South Corporation even launching a single-window system. Consent letters from just 50 per cent of residents using the common staircase were enough, officials said — the ground floor wasn’t counted. Detailed policy guidelines followed in February 2016. 

...This, even though nearly a decade ago the MCD framed the ‘Detailed Policy for Installation of Lift and Connecting Bridge in Cooperative Group Housing Society (CGHS) Flats and DDA Built Flats (Low Rise Flats) in NCT of Delhi’ — approved by the Lieutenant Governor and based on the DDA’s earlier framework. It laid out procedures for permissions, NOCs, and structural safety, aiming to streamline what was already one of the capital’s most urgent housing challenges. 

Link in bio to complete report by Sakshi Mehra (@sakshiiimehra) 

#delhi #rwa #rwagroups #accessiblehousing #DDAhousing #elderly","2","543","Sidecar",,"2025-10-09T09:30:15.000Z","https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/559046875_851520730811476_4102614167377212102_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QHCxwi8fDJMTrqjF8VeK1Y4ctdVTvItXXEsSyJDl8cxGcsvhe8SRvKkJ9Ct05WeAXI&_nc_ohc=RPzhlhPMiHcQ7kNvwGpCKVx&_nc_gid=XvDs56pTxm9Jg3s__w85Lw&edm=APs17CUAAAAA&ccb=7-5&oh=00_Afe3b0zQWasseYMAdgbgS5svVLQ22-etvpYIB2k4cQ_DOw&oe=68EDC387&_nc_sid=10d13b","https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/558889967_851523344144548_8714485219778346662_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QHCxwi8fDJMTrqjF8VeK1Y4ctdVTvItXXEsSyJDl8cxGcsvhe8SRvKkJ9Ct05WeAXI&_nc_ohc=4E9lWpGhHV8Q7kNvwGrHVJB&_nc_gid=XvDs56pTxm9Jg3s__w85Lw&edm=APs17CUAAAAA&ccb=7-5&oh=00_Afenf66v4PmsLxpomHaXgBsU8CO51cHMPEFsFzRUR4FjAA&oe=68EDB2FB&_nc_sid=10d13b","https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/558092572_851524390811110_7189255461021911614_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QHCxwi8fDJMTrqjF8VeK1Y4ctdVTvItXXEsSyJDl8cxGcsvhe8SRvKkJ9Ct05WeAXI&_nc_ohc=4e7HdGyjceQQ7kNvwEYQn-c&_nc_gid=XvDs56pTxm9Jg3s__w85Lw&edm=APs17CUAAAAA&ccb=7-5&oh=00_AfejebHbyIkSG2MeWhnhGN7TCIBIU145HMmXe9zZ2cCYvA&oe=68EDC68C&_nc_sid=10d13b","https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/558664231_851524460811103_3472599348211669371_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QHCxwi8fDJMTrqjF8VeK1Y4ctdVTvItXXEsSyJDl8cxGcsvhe8SRvKkJ9Ct05WeAXI&_nc_ohc=olMIFGVZ9R0Q7kNvwEdXH57&_nc_gid=XvDs56pTxm9Jg3s__w85Lw&edm=APs17CUAAAAA&ccb=7-5&oh=00_Aff5CuwOUwUuSuRF0iMYTmBED935JCQa3H3-IuScE1H3dw&oe=68EDD18D&_nc_sid=10d13b","https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/557865413_851525450811004_1945039104535195411_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QHCxwi8fDJMTrqjF8VeK1Y4ctdVTvItXXEsSyJDl8cxGcsvhe8SRvKkJ9Ct05WeAXI&_nc_ohc=PaUtIEb-YsgQ7kNvwHb11oF&_nc_gid=XvDs56pTxm9Jg3s__w85Lw&edm=APs17CUAAAAA&ccb=7-5&oh=00_AfelVmZTTHtPm9AO3kH_zuU_1_MlauDsrjm32gCHixX-5Q&oe=68EDC678&_nc_sid=10d13b","https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/559187203_851525554144327_6342741652069963221_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QHCxwi8fDJMTrqjF8VeK1Y4ctdVTvItXXEsSyJDl8cxGcsvhe8SRvKkJ9Ct05WeAXI&_nc_ohc=u6Q9atquicEQ7kNvwGM4Wb4&_nc_gid=XvDs56pTxm9Jg3s__w85Lw&edm=APs17CUAAAAA&ccb=7-5&oh=00_AfexGIYwpbFH38XMFyWvUV0b5WleExbIepzlSpmrJxFdPQ&oe=68EDB026&_nc_sid=10d13b","https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/558067538_851526650810884_8846330221149275705_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QHCxwi8fDJMTrqjF8VeK1Y4ctdVTvItXXEsSyJDl8cxGcsvhe8SRvKkJ9Ct05WeAXI&_nc_ohc=pwtadtR70uAQ7kNvwFJhpzn&_nc_gid=XvDs56pTxm9Jg3s__w85Lw&edm=APs17CUAAAAA&ccb=7-5&oh=00_Aff4f4GX4UP7Oc_XDb3NRq-foML8SZ6HKChJJj4qg4hOtg&oe=68EDABD4&_nc_sid=10d13b","https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/558908108_851528714144011_6139360996182648190_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QHCxwi8fDJMTrqjF8VeK1Y4ctdVTvItXXEsSyJDl8cxGcsvhe8SRvKkJ9Ct05WeAXI&_nc_ohc=4dr0-d8k70cQ7kNvwFU0HxK&_nc_gid=XvDs56pTxm9Jg3s__w85Lw&edm=APs17CUAAAAA&ccb=7-5&oh=00_AfetcD74EFEYxUN6cYJp0XHxSF5eapTzOY2Cj1BqJqODwQ&oe=68EDCEEF&_nc_sid=10d13b","https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/558538353_851528777477338_4954908196134072433_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QHCxwi8fDJMTrqjF8VeK1Y4ctdVTvItXXEsSyJDl8cxGcsvhe8SRvKkJ9Ct05WeAXI&_nc_ohc=_xwAk_4YgBUQ7kNvwHB52e-&_nc_gid=XvDs56pTxm9Jg3s__w85Lw&edm=APs17CUAAAAA&ccb=7-5&oh=00_AfcKU8hJDor8CA3cSFpgP90549mM9kfrGI7lBZmjP7yDUA&oe=68EDBCEF&_nc_sid=10d13b","https://scontent-bos5-1.cdninstagram.com/v/t39.30808-6/558164952_851529457477270_7024570534870838526_n.jpg?stp=dst-jpg_e15_fr_p1080x1080_tt6&_nc_ht=scontent-bos5-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QHCxwi8fDJMTrqjF8VeK1Y4ctdVTvItXXEsSyJDl8cxGcsvhe8SRvKkJ9Ct05WeAXI&_nc_ohc=DdksMEqTIisQ7kNvwGlvaBC&_nc_gid=XvDs56pTxm9Jg3s__w85Lw&edm=APs17CUAAAAA&ccb=7-5&oh=00_Afcjg9FEVyTiHqXve6M7lNSLMgPdMQ1edjMojMFuAlxRjQ&oe=68EDCB29&_nc_sid=10d13b"
"Singh held a wide-ranging bilateral meeting with the Deputy Prime Minister and Minister for Defence of Australia, Richard Marles, in Canberra during his official two-day visit.

The meeting marked five years of the India-Australia Comprehensive Strategic Partnership, with both sides “reaffirming their shared commitment to deepening defence cooperation across a wide spectrum, including military exercises, maritime security, defence industry collaboration and joint research in science and technology,” a statement by the defence ministry said.

As part of his engagements, a live air-to-air refuelling demonstration was held onboard the KC-30A Multirole Transport and Tanker Aircraft (MRTT), refuelling an F-35 aircraft en route to Canberra. It showcased a demonstration of growing interoperability following last year’s Implementation Arrangement on Air-to-Air Refuelling between the two countries.

Link in bio to complete report by Snehesh Alex Philip (@sneheshalexphilip)

#IndiaAustralia #RichardMarles #RajnathSingh #bilateralcooperation #defenceties #IndiaAustraliaMoUs","1","87","Image",,"2025-10-09T13:01:38.000Z",,,,,,,,,,
